"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_dt_h2d","mean_dt_d2h","mean_cuda","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_dt_h2d","sd_dt_d2h","sd_cuda","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_dt_h2d","se_dt_d2h","se_cuda","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"626","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,8,"STANDARD_DATASET",1024,1024,1024,2,0,1141125310,1141125310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141125310,0,0,2,0,0,0
"627","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,8,"TINY_DATASET",128,128,128,2,0,15114856,15114856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15114856,0,0,2,0,0,0
"628","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,8,"TOY_DATASET",32,32,32,2,0,12808551,12808551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12808551,0,0,2,0,0,0
"629","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,10,"EXTRALARGE_DATASET",4096,4096,4096,2,0,133385897837,133385897837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133385897837,0,0,2,0,0,0
"630","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,10,"HUGE_DATASET",8192,8192,8192,2,0,1601083518859,1626005837488,23852844022,0,0,800168892,269305715,23852844022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626005837488,0,0,0,2,2,2
"631","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,10,"LARGE_DATASET",2048,2048,2048,2,0,19170432307,19694553143,456632695,0,0,43788805,23699336,456632695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19694553143,0,0,0,2,2,2
"632","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,10,"MEDIUM_DATASET",512,512,512,2,0,59190786,59190786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59190786,0,0,2,0,0,0
"633","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,10,"MINI_DATASET",64,64,64,2,0,11178820,11178820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11178820,0,0,2,0,0,0
"634","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,10,"SMALL_DATASET",256,256,256,2,0,16198690,16198690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16198690,0,0,2,0,0,0
"635","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,10,"STANDARD_DATASET",1024,1024,1024,2,0,1108956674,1108956674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108956674,0,0,2,0,0,0
