"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_dt_h2d","se_dt_d2h"
"30","chunk_size_evaluation","OMP","DYNAMIC",64,4,"LARGE_DATASET",2048,2048,2048,10,89203970761.5,41372441902.6,41372441902.6,0,0,0,0,0,0,606670271.115965,1884847278.87684,1884847278.87684,0,0,0,0,0,191845984.543831,596041044.28214,596041044.28214,0,0,0,0,0
"31","chunk_size_evaluation","OMP","DYNAMIC",64,6,"LARGE_DATASET",2048,2048,2048,10,89597625370,25471818467.4,25471818467.4,0,0,0,0,0,0,1168662629.57253,1512388670.41517,1512388670.41517,0,0,0,0,0,369563572.577085,478259290.594565,478259290.594565,0,0,0,0,0
"32","chunk_size_evaluation","OMP","DYNAMIC",64,8,"LARGE_DATASET",2048,2048,2048,10,89902670330.1,18773264438,18773264438,0,0,0,0,0,0,747680593.18334,951798886.31333,951798886.31333,0,0,0,0,0,236437363.676512,300985235.516178,300985235.516178,0,0,0,0,0
"33","chunk_size_evaluation","OMP","DYNAMIC",64,10,"LARGE_DATASET",2048,2048,2048,10,89145873575.7,16539401696.4,16539401696.4,0,0,0,0,0,0,1318638126.84838,547036089.972242,547036089.972242,0,0,0,0,0,416989989.037889,172988000.662508,172988000.662508,0,0,0,0,0
"34","chunk_size_evaluation","OMP","DYNAMIC",64,12,"LARGE_DATASET",2048,2048,2048,10,89560657267.9,14130902952.6,14130902952.6,0,0,0,0,0,0,8563996383.30943,3899382468.07183,3899382468.07183,0,0,0,0,0,2708173444.47022,1233093006.72358,1233093006.72358,0,0,0,0,0
"35","chunk_size_evaluation","OMP","DYNAMIC",64,14,"LARGE_DATASET",2048,2048,2048,10,88698303199.9,16327685053.5,16327685053.5,0,0,0,0,0,0,1051169452.79934,1082629832.49052,1082629832.49052,0,0,0,0,0,332408967.763878,342357613.35166,342357613.35166,0,0,0,0,0
"36","chunk_size_evaluation","OMP","DYNAMIC",64,16,"LARGE_DATASET",2048,2048,2048,10,90182821803.1,14073549186.2,14073549186.2,0,0,0,0,0,0,13557765788.8704,5282388029.53791,5282388029.53791,0,0,0,0,0,4287341987.594,1670437765.81486,1670437765.81486,0,0,0,0,0
"37","chunk_size_evaluation","OMP","DYNAMIC",64,18,"LARGE_DATASET",2048,2048,2048,10,91191587637.2,14178289476.2,14178289476.2,0,0,0,0,0,0,7903352180.3273,3826968113.82037,3826968113.82037,0,0,0,0,0,2499259404.02921,1210193577.25109,1210193577.25109,0,0,0,0,0
"38","chunk_size_evaluation","OMP","DYNAMIC",64,20,"LARGE_DATASET",2048,2048,2048,10,90480248589.9,14327758278.6,14327758278.6,0,0,0,0,0,0,9892811772.69795,4366175506.54624,4366175506.54624,0,0,0,0,0,3128381766.50535,1380705926.47255,1380705926.47255,0,0,0,0,0
"39","chunk_size_evaluation","OMP","DYNAMIC",64,22,"LARGE_DATASET",2048,2048,2048,10,90703843485.1,13876613355.4,13876613355.4,0,0,0,0,0,0,3696735545.38429,1606513675.00104,1606513675.00104,0,0,0,0,0,1169010423.07191,508024230.521079,508024230.521079,0,0,0,0,0
"40","chunk_size_evaluation","OMP","DYNAMIC",64,24,"LARGE_DATASET",2048,2048,2048,10,91341461063.3,12634626310,12634626310,0,0,0,0,0,0,13895003996.4282,5160826296.91126,5160826296.91126,0,0,0,0,0,4393986072.58552,1631996570.6732,1631996570.6732,0,0,0,0,0
"41","chunk_size_evaluation","OMP","DYNAMIC",128,1,"LARGE_DATASET",2048,2048,2048,10,85300829829.2,86124672097.1,86124672097.1,0,0,0,0,0,0,9158160158.92852,9760455040.34881,9760455040.34881,0,0,0,0,0,2896064527.88238,3086526892.71729,3086526892.71729,0,0,0,0,0
"42","chunk_size_evaluation","OMP","DYNAMIC",128,2,"LARGE_DATASET",2048,2048,2048,10,79861109251.2,49778945376.2,49778945376.2,0,0,0,0,0,0,395598464.382313,263504853.697887,263504853.697887,0,0,0,0,0,125099218.63131,83327551.2194766,83327551.2194766,0,0,0,0,0
"43","chunk_size_evaluation","OMP","DYNAMIC",128,4,"LARGE_DATASET",2048,2048,2048,10,79910881700.1,24226799142.5,24226799142.5,0,0,0,0,0,0,499523471.20066,274829354.328133,274829354.328133,0,0,0,0,0,157963191.370761,86908672.7550354,86908672.7550354,0,0,0,0,0
"44","chunk_size_evaluation","OMP","DYNAMIC",128,6,"LARGE_DATASET",2048,2048,2048,10,89439786667.9,27424491250.3,27424491250.3,0,0,0,0,0,0,1025798282.9698,2224503325.39756,2224503325.39756,0,0,0,0,0,324385899.407447,703449717.087497,703449717.087497,0,0,0,0,0
"45","chunk_size_evaluation","OMP","DYNAMIC",128,8,"LARGE_DATASET",2048,2048,2048,10,92399666089.5,17954434509.2,17954434509.2,0,0,0,0,0,0,14177511275.7738,7285904971.50914,7285904971.50914,0,0,0,0,0,4483322718.41649,2304005452.55131,2304005452.55131,0,0,0,0,0
"46","chunk_size_evaluation","OMP","DYNAMIC",128,10,"LARGE_DATASET",2048,2048,2048,10,91830404129.7,18712013822.8,18712013822.8,0,0,0,0,0,0,8896358700.53335,5005229744.46479,5005229744.46479,0,0,0,0,0,2813275637.55412,1582792620.49313,1582792620.49313,0,0,0,0,0
"47","chunk_size_evaluation","OMP","DYNAMIC",128,12,"LARGE_DATASET",2048,2048,2048,10,91175124955.9,18307502542.1,18307502542.1,0,0,0,0,0,0,6961202176.91516,4203514472.01543,4203514472.01543,0,0,0,0,0,2201325413.19743,1329267990.90489,1329267990.90489,0,0,0,0,0
"48","chunk_size_evaluation","OMP","DYNAMIC",128,14,"LARGE_DATASET",2048,2048,2048,10,89893695994.5,19219779434.4,19219779434.4,0,0,0,0,0,0,8027457491.61747,4474894656.29894,4474894656.29894,0,0,0,0,0,2538504949.36932,1415085940.3221,1415085940.3221,0,0,0,0,0
"49","chunk_size_evaluation","OMP","DYNAMIC",128,16,"LARGE_DATASET",2048,2048,2048,10,91654810330.3,14613752138.4,14613752138.4,0,0,0,0,0,0,9699838724.90199,3588196631.71806,3588196631.71806,0,0,0,0,0,3067358330.69937,1134687404.87735,1134687404.87735,0,0,0,0,0
"50","chunk_size_evaluation","OMP","DYNAMIC",128,18,"LARGE_DATASET",2048,2048,2048,10,92128806160.7,14732170560,14732170560,0,0,0,0,0,0,12308186069.0394,3905187594.15301,3905187594.15301,0,0,0,0,0,3892190184.33189,1234928748.77568,1234928748.77568,0,0,0,0,0
"51","chunk_size_evaluation","OMP","DYNAMIC",128,20,"LARGE_DATASET",2048,2048,2048,10,90934721916.3,14680372438.4,14680372438.4,0,0,0,0,0,0,9421287901.61869,3557585044.09807,3557585044.09807,0,0,0,0,0,2979272826.13034,1125007170.91004,1125007170.91004,0,0,0,0,0
"52","chunk_size_evaluation","OMP","DYNAMIC",128,22,"LARGE_DATASET",2048,2048,2048,10,92529146090.9,15210386133.5,15210386133.5,0,0,0,0,0,0,5427626276.83054,2196592810.60454,2196592810.60454,0,0,0,0,0,1716366132.29641,694623637.346122,694623637.346122,0,0,0,0,0
"53","chunk_size_evaluation","OMP","DYNAMIC",128,24,"LARGE_DATASET",2048,2048,2048,10,91936122553,14189161960.7,14189161960.7,0,0,0,0,0,0,13262157098.873,5144590831.20325,5144590831.20325,0,0,0,0,0,4193862311.94096,1626862465.62211,1626862465.62211,0,0,0,0,0
"54","chunk_size_evaluation","OMP","DYNAMIC",256,1,"LARGE_DATASET",2048,2048,2048,10,89005404060.2,90348771979.9,90348771979.9,0,0,0,0,0,0,386145414.25101,486734459.791443,486734459.791443,0,0,0,0,0,122109901.706243,153918950.86326,153918950.86326,0,0,0,0,0
"55","chunk_size_evaluation","OMP","DYNAMIC",256,2,"LARGE_DATASET",2048,2048,2048,10,79847064443.8,49869648560.9,49869648560.9,0,0,0,0,0,0,552394344.828081,522152582.27438,522152582.27438,0,0,0,0,0,174682429.625319,165119144.61255,165119144.61255,0,0,0,0,0
"56","chunk_size_evaluation","OMP","DYNAMIC",256,4,"LARGE_DATASET",2048,2048,2048,10,89464968874.9,41508600304.9,41508600304.9,0,0,0,0,0,0,1184011802.82144,1056546523.57816,1056546523.57816,0,0,0,0,0,374417407.343794,334109346.843978,334109346.843978,0,0,0,0,0
"57","chunk_size_evaluation","OMP","DYNAMIC",256,6,"LARGE_DATASET",2048,2048,2048,10,80275086215.5,22829191976,22829191976,0,0,0,0,0,0,595657893.50051,239936690.240138,239936690.240138,0,0,0,0,0,188363564.971962,75874643.5401128,75874643.5401128,0,0,0,0,0
"58","chunk_size_evaluation","OMP","DYNAMIC",256,8,"LARGE_DATASET",2048,2048,2048,10,89338961904.9,17732718922.6,17732718922.6,0,0,0,0,0,0,748940397.784955,1311928556.79854,1311928556.79854,0,0,0,0,0,236835748.871298,414868236.690098,414868236.690098,0,0,0,0,0
"59","chunk_size_evaluation","OMP","DYNAMIC",256,10,"LARGE_DATASET",2048,2048,2048,10,89665623675.1,18529331736.8,18529331736.8,0,0,0,0,0,0,443951284.675361,483658869.464607,483658869.464607,0,0,0,0,0,140389722.973195,152946363.805022,152946363.805022,0,0,0,0,0
"60","chunk_size_evaluation","OMP","DYNAMIC",256,12,"LARGE_DATASET",2048,2048,2048,10,88854718209.7,19726942765.4,19726942765.4,0,0,0,0,0,0,13725541285.2859,9737525416.43331,9737525416.43331,0,0,0,0,0,4340397258.01784,3079275908.97089,3079275908.97089,0,0,0,0,0
"61","chunk_size_evaluation","OMP","DYNAMIC",256,14,"LARGE_DATASET",2048,2048,2048,10,89572811067.6,19519651731.1,19519651731.1,0,0,0,0,0,0,10632639593.2641,4138974766.98518,4138974766.98518,0,0,0,0,0,3362335865.44009,1308858744.16379,1308858744.16379,0,0,0,0,0
"62","chunk_size_evaluation","OMP","DYNAMIC",256,16,"LARGE_DATASET",2048,2048,2048,10,91125934112.6,19268590712.8,19268590712.8,0,0,0,0,0,0,9443852664.39494,5662112531.4146,5662112531.4146,0,0,0,0,0,2986408430.65377,1790517196.74518,1790517196.74518,0,0,0,0,0
"63","chunk_size_evaluation","OMP","DYNAMIC",256,18,"LARGE_DATASET",2048,2048,2048,10,92622013465.9,21600514246.4,21600514246.4,0,0,0,0,0,0,9530652018.06252,8443421639.56433,8443421639.56433,0,0,0,0,0,3013856796.35578,2670044362.61765,2670044362.61765,0,0,0,0,0
"64","chunk_size_evaluation","OMP","DYNAMIC",256,20,"LARGE_DATASET",2048,2048,2048,10,90392605270,19718933393.6,19718933393.6,0,0,0,0,0,0,7413410493.11138,5424908852.56294,5424908852.56294,0,0,0,0,0,2344326238.8024,1715506807.29095,1715506807.29095,0,0,0,0,0
"65","chunk_size_evaluation","OMP","DYNAMIC",256,22,"LARGE_DATASET",2048,2048,2048,10,90899654742.2,20194309747.8,20194309747.8,0,0,0,0,0,0,8921816041.58661,6182959515.56475,6182959515.56475,0,0,0,0,0,2821325955.64412,1955223474.97959,1955223474.97959,0,0,0,0,0
"66","chunk_size_evaluation","OMP","DYNAMIC",256,24,"LARGE_DATASET",2048,2048,2048,10,92577663944.9,20010611194.3,20010611194.3,0,0,0,0,0,0,11724543588.493,10292740469.4658,10292740469.4658,0,0,0,0,0,3707626226.55618,3254850324.85028,3254850324.85028,0,0,0,0,0
"67","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,1,"LARGE_DATASET",2048,2048,2048,10,86315457467.2,14627070600.1,15021046722.3,323806619.7,0,0,323806619.7,45274636.9,24894865.6,8197936731.39997,1633248206.98919,1636125227.36355,359517.36514889,0,0,27390379.6791832,11546059.226663,2592415218.51799,516478431.847199,517388225.572966,113689.373225293,0,0,8661598.57630108,3651184.51554575
"68","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,2,"LARGE_DATASET",2048,2048,2048,10,86527673560.5,18071587777,18457653769.5,323656414,0,0,323656414,39120416.3,23289162.2,8505662592.96696,5557874209.52207,5545453569.66724,250013.70528833,0,0,27216924.7368061,13365268.6579295,2689726680.26693,1757554145.07976,1753626393.88597,79061.2754969207,0,0,8606747.3073686,4226469.04991191
"69","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,4,"LARGE_DATASET",2048,2048,2048,10,85918516336.7,19436164877.8,19829799259,323699091.6,0,0,323699091.6,44420087.2,25515202.4,8176722505.27906,6173225894.73334,6180415757.02784,259420.006082286,0,0,27873254.301693,9349617.01124795,2585706691.184,1952145433.80882,1954419067.90018,82035.8089834758,0,0,8814296.93944361,2956608.50057996
"70","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,6,"LARGE_DATASET",2048,2048,2048,10,87306823243.3,19094759901.4,19481491727.4,323717012.1,0,0,323717012.1,41496192.7,21518621.2,7708641327.56406,4151059354.83594,4156418579.77593,227166.852455683,0,0,34421106.8756646,13395422.0114352,2437686426.04065,1312680226.38306,1314374962.11342,71836.4662651374,0,0,10884909.7311182,4236004.37752894
"71","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,8,"LARGE_DATASET",2048,2048,2048,10,88929773261.1,20128088662.6,20508124303.7,323721298,0,0,323721298,39642909.6,16671433.5,6556235275.17756,4182617488.71159,4184720211.06492,197705.415723045,0,0,25806248.3109852,7364707.71880663,2073263634.55019,1322659784.55822,1323324723.75057,62519.9419435289,0,0,8160652.25265866,2328925.06928518
"72","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,10,"LARGE_DATASET",2048,2048,2048,10,84283523367.3,17171681721,17555897760.1,323727208.4,0,0,323727208.4,35842455.8,24646374.9,8958619682.11552,5546807581.34887,5536574694.52127,212053.923624681,0,0,13093705.0930408,12391681.6386234,2832964288.66987,1754054569.97521,1750818647.03382,67057.3385429382,0,0,4140593.11045559,3918593.80177375
"73","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,12,"LARGE_DATASET",2048,2048,2048,10,82467740537.4,10111984231.9,10111984231.9,0,0,0,0,0,0,9145196014.97401,4472341347.89197,4472341347.89197,0,0,0,0,0,2891964905.60132,1414278513.30861,1414278513.30861,0,0,0,0,0
"74","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,14,"LARGE_DATASET",2048,2048,2048,10,85284057360.7,11795380138.7,11795380138.7,0,0,0,0,0,0,8989485608.31359,6342946541.1005,6342946541.1005,0,0,0,0,0,2842724951.55752,2005815814.65644,2005815814.65644,0,0,0,0,0
"75","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,16,"LARGE_DATASET",2048,2048,2048,10,87164292742.8,13112392192.8,13112392192.8,0,0,0,0,0,0,6789859121.84856,5287441786.46721,5287441786.46721,0,0,0,0,0,2147141981.67122,1672035904.0786,1672035904.0786,0,0,0,0,0
"76","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,18,"LARGE_DATASET",2048,2048,2048,10,80806543823.5,8576392228.3,8576392228.3,0,0,0,0,0,0,5611253895.56365,4172794269.61629,4172794269.61629,0,0,0,0,0,1774434283.94737,1319553409.92862,1319553409.92862,0,0,0,0,0
"77","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,20,"LARGE_DATASET",2048,2048,2048,10,86489030047.4,12071141383.3,12071141383.3,0,0,0,0,0,0,9000999589.91978,5804576572.08781,5804576572.08781,0,0,0,0,0,2846365992.23881,1835568282.065,1835568282.065,0,0,0,0,0
"78","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,22,"LARGE_DATASET",2048,2048,2048,10,85605173219.7,10680783152.6,10680783152.6,0,0,0,0,0,0,9548596324.12006,5552860027.30299,5552860027.30299,0,0,0,0,0,3019531284.17308,1755968521.43822,1755968521.43822,0,0,0,0,0
"79","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,24,"LARGE_DATASET",2048,2048,2048,10,84541455569.2,8947520152.2,8947520152.2,0,0,0,0,0,0,9508748142.70027,2878842202.21484,2878842202.21484,0,0,0,0,0,3006930182.78286,910369838.321393,910369838.321393,0,0,0,0,0
"80","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,1,"LARGE_DATASET",2048,2048,2048,10,92356060760.8,15571078731.1,15952709525.5,323686352.7,0,0,323686352.7,34069822.4,23874619.3,14470499564.8767,2048605186.07599,2053569241.67482,219566.576776562,0,0,4355384.15202478,12121780.6440195,4575973750.54859,647825841.443319,649395613.65572,69433.0480660166,0,0,1377293.40053994,3833243.61320443
"81","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,2,"LARGE_DATASET",2048,2048,2048,10,84719060431.2,18197957811,18588420702.7,323698552,0,0,323698552,44518874.4,22245465.3,9549749347.90564,5937558485.70598,5936623121.48739,248072.945388605,0,0,34836842.2952713,13656836.7361647,3019895902.30895,1877620855.52912,1877325067.39186,78447.5533294556,0,0,11016376.8141145,4318670.97193405
"82","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,4,"LARGE_DATASET",2048,2048,2048,10,84429767207.1,19471659991.5,19853594690,323691951.7,0,0,323691951.7,36305025.5,21937721.3,9110365575.64347,8153271981.39434,8154014276.94306,178289.036636955,0,0,12480172.8873406,13484093.2369895,2880950553.58244,2578290984.40401,2578525718.86711,56379.9437609983,0,0,3946577.19166764,4264044.68109595
"83","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,6,"LARGE_DATASET",2048,2048,2048,10,86093915733.1,19365842487.3,19750203846.2,323748942.5,0,0,323748942.5,36243751.9,24368664.5,8511352727.51254,5210431720.76681,5208385867.01579,280231.39440311,0,0,11628579.7454559,12078518.8649872,2691526058.80261,1647683183.04136,1647036227.28008,88616.9478198787,0,0,3677279.79485417,3819563.03746714
